Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status,Summons Image
85051JV,NY,COM,8133527612,09/23/2016,09:36P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVrMTZWWGxPZWxsNFRXYzlQUT09&locationName=_____________________)
68470MJ,NY,COM,8477362695,05/16/2017,09:39A,NO STANDING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,125.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNTZUVEpOYWxrMVRsRTlQUT09&locationName=_____________________)
68462MJ,NY,COM,8498468577,06/08/2017,07:43A,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOUVVVEpQUkZVelRuYzlQUT09&locationName=_____________________)
68462MJ,NY,COM,8506913196,04/07/2017,09:43A,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,001,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmQwNXFhM2hOZWtVMVRtYzlQUT09&locationName=_____________________)
68462MJ,NY,COM,5103046222,07/24/2018,08:47P,FAILURE TO STOP AT RED LIGHT,,50.00,25.00,0.00,0.00,75.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZRVEJPYWtsNVRXYzlQUT09&locationName=_____________________)
61433MH,NY,COM,8572983958,12/19/2017,04:39P,SAFETY ZONE,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelJOZW1zeFQwRTlQUT09&locationName=_____________________)
54173MB,NY,COM,8531419049,05/23/2017,08:31P,SIDEWALK,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrMVVVWGhQVkVFd1QxRTlQUT09&locationName=_____________________)
30271JX,NY,COM,7777186231,11/26/2016,03:38P,FRONT OR BACK PLATE MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wak0wNTZSVFJPYWtsNlRWRTlQUT09&locationName=_____________________)
95539JW,NY,COM,8265053654,11/28/2016,11:01P,FRONT OR BACK PLATE MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rNVVRVEZOZWxreFRrRTlQUT09&locationName=_____________________)
46421JZ,NY,COM,8265055596,12/04/2016,05:17P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rNVVRVEZPVkZVMVRtYzlQUT09&locationName=_____________________)
95539JW,NY,COM,8265055730,12/04/2016,06:22P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rNVVRVEZPVkdONlRVRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8265058100,12/08/2016,08:37P,SAFETY ZONE,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSk1rNVVRVEZQUkVWM1RVRTlQUT09&locationName=_____________________)
30271JX,NY,COM,8317539910,11/12/2016,03:53P,FRONT OR BACK PLATE MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNTZWWHBQVkd0NFRVRTlQUT09&locationName=_____________________)
95539JW,NY,COM,8317547978,12/10/2016,03:40P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNTZWVEJPZW1zelQwRTlQUT09&locationName=_____________________)
95539JW,NY,COM,8471070121,11/16/2016,11:52P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wMVVRVE5OUkVWNVRWRTlQUT09&locationName=_____________________)
95539JW,NY,COM,8376524938,12/22/2016,00:36A,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk0wNXFWWGxPUkd0NlQwRTlQUT09&locationName=_____________________)
46421JZ,NY,COM,8382522919,12/15/2016,02:39P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTk5FMXFWWGxOYW10NFQxRTlQUT09&locationName=_____________________)
68464MJ,NY,COM,5100360288,01/16/2018,05:45A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMUVUVEpOUkVrMFQwRTlQUT09&locationName=_____________________)
30271JX,NY,COM,8530802860,03/25/2017,03:59P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrMUVaM2ROYW1jeVRVRTlQUT09&locationName=_____________________)
10763JR,NY,999,7024586382,12/28/2015,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVVNUVWVFJPYWswMFRXYzlQUT09&locationName=_____________________)
10763JR,NY,999,7024586394,12/28/2015,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVVNUVWVFJPYWswMVRrRTlQUT09&locationName=_____________________)
10763JR,NY,999,7024586370,12/28/2015,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVVNUVWVFJPYWswelRVRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8476714130,05/15/2017,08:48A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNXFZM2hPUkVWNlRVRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8475853699,12/02/2016,12:09P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,0.00,35.00,0.00,045,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNVVaekZOZWxrMVQxRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8502111334,07/25/2017,10:40A,BIKE LANE,,115.00,0.00,0.00,0.00,115.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmQwMXFSWGhOVkUxNlRrRTlQUT09&locationName=_____________________)
37504MH,NY,COM,8317540546,11/12/2016,10:47P,STORAGE-3HR COMMERCIAL,,65.00,10.00,0.00,0.00,75.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNTZWVEJOUkZVd1RtYzlQUT09&locationName=_____________________)
37277MC,NY,COM,8531060760,04/24/2017,02:35P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,048,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrMVVRVEpOUkdNeVRVRTlQUT09&locationName=_____________________)
85051JV,NY,COM,8512601280,02/17/2017,08:47A,CROSSWALK,,115.00,0.00,0.00,0.00,115.00,0.00,023,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMXFXWGROVkVrMFRVRTlQUT09&locationName=_____________________)
19401MJ,NY,COM,8530839456,10/03/2017,10:31P,SAFETY ZONE,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrMUVaM3BQVkZFeFRtYzlQUT09&locationName=_____________________)
19401MJ,NY,COM,8530839468,10/03/2017,10:34P,REG STICKER-MUTILATED/C'FEIT,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrMUVaM3BQVkZFeVQwRTlQUT09&locationName=_____________________)
68463MJ,NY,COM,8476779069,06/01/2017,08:02A,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNXFZek5QVkVFeVQxRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8527306499,03/13/2017,03:38P,SAFETY ZONE,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNTZUWGRPYWxFMVQxRTlQUT09&locationName=_____________________)
75669MD,NY,COM,8572980787,12/08/2017,02:29P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelJOUkdNMFRuYzlQUT09&locationName=_____________________)
75669MD,NY,COM,8572980799,12/08/2017,02:32P,SAFETY ZONE,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelJOUkdNMVQxRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8572980805,12/08/2017,02:34P,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,0.00,60.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelJOUkdkM1RsRTlQUT09&locationName=_____________________)
68472MJ,NY,COM,8477366834,06/14/2017,09:53A,NO STANDING-DAY/TIME LIMITS,,115.00,30.00,0.00,0.00,145.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNTZUVEpPYW1kNlRrRTlQUT09&locationName=_____________________)
30271JX,NY,COM,8498477475,07/28/2017,07:20A,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOUVVVE5PZWxFelRsRTlQUT09&locationName=_____________________)
96793MK,NY,COM,8893628466,06/22/2022,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMTZXWGxQUkZFeVRtYzlQUT09&locationName=_____________________)
96793MK,NY,COM,8893628478,06/22/2022,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk5VMTZXWGxQUkZFelQwRTlQUT09&locationName=_____________________)
42997MH,NY,COM,5100048074,12/28/2017,10:50A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMUVRVEJQUkVFelRrRTlQUT09&locationName=_____________________)
68472MJ,NY,COM,8498472568,06/27/2017,07:10A,NO STANDING-BUS LANE,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VOUVVVE5OYWxVeVQwRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8576409999,07/19/2017,12:51P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wNXFVWGRQVkdzMVQxRTlQUT09&locationName=_____________________)
66856JU,NY,COM,1437328118,02/12/2018,07:55A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVrNTZUWGxQUkVWNFQwRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8608131572,05/14/2018,03:16P,REG. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwOUVSWHBOVkZVelRXYzlQUT09&locationName=_____________________)
37277MC,NY,COM,8608131584,05/14/2018,03:18P,SAFETY ZONE,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwOUVSWHBOVkZVMFRrRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8479974989,01/17/2018,09:50A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOVVhek5PUkdzMFQxRTlQUT09&locationName=_____________________)
75669MD,NY,COM,8531584413,11/30/2017,09:26P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,040,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrMVVWVFJPUkZGNFRYYzlQUT09&locationName=_____________________)
68472MJ,NY,COM,5099218544,10/28/2017,02:27A,FAILURE TO STOP AT RED LIGHT,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VOVVTWGhQUkZVd1RrRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8478192499,03/26/2018,08:13A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVSVFZOYWxFMVQxRTlQUT09&locationName=_____________________)
46422JZ,NY,COM,8572990860,01/16/2018,04:13P,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,0.00,60.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelZOUkdjeVRVRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8596129390,01/26/2018,01:51P,FIRE HYDRANT,,115.00,0.00,0.00,0.00,115.00,0.00,112,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VNXFSWGxQVkUwMVRVRTlQUT09&locationName=_____________________)
68462MJ,NY,COM,8572981846,12/12/2017,04:36P,NO PARKING-DAY/TIME LIMITS,,60.00,30.00,0.00,0.00,90.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wMXFhelJOVkdjd1RtYzlQUT09&locationName=_____________________)
68462MJ,NY,COM,8593277767,01/16/2018,04:15P,NO PARKING-DAY/TIME LIMITS,,60.00,0.00,0.00,0.00,60.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VMTZTVE5PZW1NeVRuYzlQUT09&locationName=_____________________)
75669MD,NY,COM,8575278411,11/14/2017,12:36P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk0wNVVTVE5QUkZGNFRWRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8496433160,12/18/2017,07:40A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNXFVWHBOZWtVeVRVRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8616766560,02/26/2018,07:36A,BIKE LANE,,115.00,0.00,0.00,0.00,115.00,0.00,010,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNXFZekpPYWxVeVRVRTlQUT09&locationName=_____________________)
68464MJ,NY,COM,8633256861,11/29/2017,12:31P,INSP. STICKER-EXPIRED/MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVrMTZTVEZPYW1jeVRWRTlQUT09&locationName=_____________________)
75669MD,NY,COM,4643837342,03/16/2018,02:39P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FMTZaM3BPZWswd1RXYzlQUT09&locationName=_____________________)
68471MJ,NY,COM,8626653219,03/16/2018,01:21P,NO STANDING-BUS STOP,,115.00,0.00,0.00,0.00,115.00,0.00,019,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVVNXFXVEZOZWtsNFQxRTlQUT09&locationName=_____________________)
10844ML,NY,COM,8601181960,04/14/2018,06:11A,NO STANDING-DAY/TIME LIMITS,,115.00,0.00,0.00,0.00,115.00,0.00,018,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMVVSVFJOVkdzeVRVRTlQUT09&locationName=_____________________)
75669MD,NY,COM,8604687385,04/09/2018,11:19A,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwNUVXVFJPZWswMFRsRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8494095500,06/18/2018,01:24P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNUVRVFZPVkZWM1RVRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8478213818,03/27/2018,07:10A,DOUBLE PARKING-MIDTOWN COMML,,115.00,0.00,0.00,0.00,115.00,0.00,017,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVTWGhOZW1kNFQwRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8593688159,05/20/2018,08:10A,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk5VMTZXVFJQUkVVeFQxRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8617766864,06/18/2018,01:16P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVFNTZZekpPYW1jeVRrRTlQUT09&locationName=_____________________)
10843ML,NY,COM,8666308059,07/10/2018,12:37P,OBSTRUCTING TRAFFIC/INTERSECT,,115.00,10.00,0.00,0.00,125.00,0.00,047,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNXFUWGRQUkVFeFQxRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8607127627,06/19/2018,01:05P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,044,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwNTZSWGxPZWxsNVRuYzlQUT09&locationName=_____________________)
75669MD,NY,COM,8639669200,06/28/2018,02:05P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,049,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVrOVVXVEpQVkVsM1RVRTlQUT09&locationName=_____________________)
37277MC,NY,COM,8649453119,06/18/2018,01:10P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,014,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FOVVVVEZOZWtWNFQxRTlQUT09&locationName=_____________________)
75669MD,NY,COM,8692452040,10/25/2018,02:44P,DOUBLE PARKING,,115.00,0.00,0.00,0.00,115.00,0.00,052,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5VMXFVVEZOYWtFd1RVRTlQUT09&locationName=_____________________)
96793MK,NY,COM,8702766127,12/27/2018,03:45P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,075,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwMXFZekpPYWtWNVRuYzlQUT09&locationName=_____________________)
37504MH,NY,COM,4623758308,09/20/2016,12:11P,PHTO SCHOOL ZN SPEED VIOLATION,,50.00,0.00,0.00,0.00,50.00,0.00,000,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWmVVMTZZekZQUkUxM1QwRTlQUT09&locationName=_____________________)
35060JN,NY,COM,7011089068,07/22/2016,01:09P,INSP STICKER-MUTILATED/C'FEIT,,65.00,30.00,0.00,0.00,95.00,0.00,023,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wQmVFMVVRVFJQVkVFeVQwRTlQUT09&locationName=_____________________)
85051JV,NY,COM,8133527624,09/23/2016,09:37P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSRmVrMTZWWGxPZWxsNVRrRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8301019001,07/30/2016,00:33A,NO STANDING-DAY/TIME LIMITS,,115.00,10.00,0.00,0.00,125.00,0.00,046,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmQwMVVRWGhQVkVGM1RWRTlQUT09&locationName=_____________________)
66856JU,NY,COM,8301019013,07/30/2016,00:34A,INSP. STICKER-EXPIRED/MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,046,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmQwMVVRWGhQVkVGNFRYYzlQUT09&locationName=_____________________)
95539JW,NY,COM,8471051140,08/24/2016,08:57P,FRONT OR BACK PLATE MISSING,,65.00,10.00,0.00,0.00,75.00,0.00,041,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wMVVRVEZOVkVVd1RVRTlQUT09&locationName=_____________________)
30271JX,NY,COM,8471057621,09/17/2016,03:06P,FRONT OR BACK PLATE MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wMVVRVEZPZWxsNVRWRTlQUT09&locationName=_____________________)
64745JV,NY,COM,8471059666,09/24/2016,11:04P,INSP. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,041,BX,TRAFFIC,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wMVVRVEZQVkZreVRtYzlQUT09&locationName=_____________________)
30271JX,NY,COM,1399328323,05/04/2016,01:22A,FRONT OR BACK PLATE MISSING,08/18/2016,65.00,60.00,0.83,0.00,125.83,0.00,041,BX,OTHER/UNKNOWN AGENCIES,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSTk5VOVVUWGxQUkUxNVRYYzlQUT09&locationName=_____________________)
19401MJ,NY,COM,1409089447,05/20/2016,07:37A,NO PARKING-STREET CLEANING,09/08/2016,45.00,60.00,0.15,0.00,105.15,0.00,044,BX,DEPARTMENT OF SANITATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmQwOVVRVFJQVkZFd1RuYzlQUT09&locationName=_____________________)
68462MJ,NY,COM,8649807252,06/19/2018,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FOVVaM2RPZWtreFRXYzlQUT09&locationName=_____________________)
96793MK,NY,COM,8797811579,12/17/2019,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak5VNTZaM2hOVkZVelQxRTlQUT09&locationName=_____________________)
96793MK,NY,COM,8949313273,04/26/2021,,,,,,,,,,,,,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSck1FOVVUWGhOZWtrelRYYzlQUT09&locationName=_____________________)
